commandment_number,commandment_concept,commandment_polarity,reference_id,scripture_english,scripture_hebrew,scripture_greek,scripture_parashah,sefer_hachinuch_number,mishneh_torah_book_number,mishneh_torah_book_name,mishneh_torah_category,p119f_category,,,,,,,,,,,,,
549,The courts must hang those stoned for blasphemy or idolatry ,P,DEU 21:22,"""If a man has committed a sin worthy of death and he is put to death, and you hang him on a tree,","כב וְכִי-יִהְיֶה בְאִישׁ, חֵטְא מִשְׁפַּט-מָוֶת--וְהוּמָת: וְתָלִיתָ אֹתוֹ, עַל-עֵץ.","22 Ἐὰν δὲ γένηται ἔν τινι ἁμαρτία κρίμα θανάτου καὶ ἀποθάνῃ καὶ κρεμάσητε αὐτὸν ἐπὶ ξύλου,  ",Ki Tetze,,14,Judges,The Sanhedrin and the Penalties Under Their Jurisdiction,"Courts, Crimes, and Punishments",,,,,,,,,,,,,
550,Bury the executed on the day they are killed ,P,DEU 21:23,"his corpse shall not hang all night on the tree, but you shall surely bury him on the same day (for he who is hanged is accursed of God), so that you do not defile your land which the LORD your God gives you as an inheritance.","כג לֹא-תָלִין נִבְלָתוֹ עַל-הָעֵץ, כִּי-קָבוֹר תִּקְבְּרֶנּוּ בַּיּוֹם הַהוּא--כִּי-קִלְלַת אֱלֹהִים, תָּלוּי; וְלֹא תְטַמֵּא, אֶת-אַדְמָתְךָ, אֲשֶׁר יְהוָה אֱלֹהֶיךָ, נֹתֵן לְךָ נַחֲלָה. {ס}","23 οὐκ ἐπικοιμηθήσεται τὸ σῶμα αὐτοῦ ἐπὶ τοῦ ξύλου, ἀλλὰ ταφῇ θάψετε αὐτὸν ἐν τῇ ἡμέρᾳ ἐκείνῃ, ὅτι κεκατηραμένος ὑπὸ θεοῦ πᾶς κρεμάμενος ἐπὶ ξύλου· καὶ οὐ μιανεῖτε τὴν γῆν, ἣν κύριος ὁ θεός σου δίδωσίν σοι ἐν κλήρῳ.  ",Ki Tetze,536,14,Judges,The Sanhedrin and the Penalties Under Their Jurisdiction,"Courts, Crimes, and Punishments",,,,,,,,,,,,,
551,Do not delay burial overnight ,N,DEU 21:23,"his corpse shall not hang all night on the tree, but you shall surely bury him on the same day (for he who is hanged is accursed of God), so that you do not defile your land which the LORD your God gives you as an inheritance.",  לֹא־תָלִין נִבְלָתוֹ עַל־הָעֵץ כִּי־קָבוֹר תִּקְבְּרֶנּוּ בַּיּוֹם הַהוּא כִּי־קִלְלַת אֱלֹהִים תָּלוּי וְלֹא תְטַמֵּא אֶת־אַדְמָתְךָ אֲשֶׁר יְהוָה אֱלֹהֶיךָ נֹתֵן לְךָ נַחֲלָה׃ ס ‬,οὐκ ἐπικοιμηθήσεται τὸ σῶμα αὐτοῦ ἐπὶ τοῦ ξύλου ἀλλὰ ταφῇ θάψετε αὐτὸν ἐν τῇ ἡμέρᾳ ἐκείνῃ ὅτι κεκατηραμένος ὑπὸ θεοῦ πᾶς κρεμάμενος ἐπὶ ξύλου καὶ οὐ μιανεῖτε τὴν γῆν ἣν κύριος ὁ θεός σου δίδωσίν σοι ἐν κλήρῳ,Ki Tetze,537,14,Judges,The Sanhedrin and the Penalties Under Their Jurisdiction,"Courts, Crimes, and Punishments",,,,,,,,,,,,,
552,The court must not let the sorcerer live ,N,EXO 22:18,"""You shall not allow a sorceress to live.","יז מְכַשֵּׁפָה, לֹא תְחַיֶּה.",18 (22:17) φαρμακοὺς οὐ περιποιήσετε. --  ,Mishpatim,62,14,Judges,The Sanhedrin and the Penalties Under Their Jurisdiction,"Courts, Crimes, and Punishments",,,,,,,,,,,,,
553,The court must give lashes to the wrongdoer ,P,DEU 25:3,"""He may beat him forty times but no more, so that he does not beat him with many more stripes than these and your brother is not degraded in your eyes.","ג אַרְבָּעִים יַכֶּנּוּ, לֹא יֹסִיף: פֶּן-יֹסִיף לְהַכֹּתוֹ עַל-אֵלֶּה מַכָּה רַבָּה, וְנִקְלָה אָחִיךָ לְעֵינֶיךָ.","3 τεσσαράκοντα μαστιγώσουσιν αὐτόν, οὐ προσθήσουσιν· ἐὰν δὲ προσθῶσιν μαστιγῶσαι αὐτὸν ὑπὲρ ταύτας τὰς πληγὰς πλείους, ἀσχημονήσει ὁ ἀδελφός σου ἐναντίον σου.  ",Ki Tetze,,14,Judges,The Sanhedrin and the Penalties Under Their Jurisdiction,"Courts, Crimes, and Punishments",,,,,,,,,,,,,
554,The court must not exceed the prescribed number of lashes ,N,DEU 25:3,"""He may beat him forty times but no more, so that he does not beat him with many more stripes than these and your brother is not degraded in your eyes.",  אַרְבָּעִים יַכֶּנּוּ לֹא יֹסִיף פֶּן־יֹסִיף לְהַכֹּתוֹ עַל־אֵלֶּה מַכָּה רַבָּה וְנִקְלָה אָחִיךָ לְעֵינֶיךָ׃ ס ‬,τεσσαράκοντα μαστιγώσουσιν αὐτόν οὐ προσθήσουσιν ἐὰν δὲ προσθῶσιν μαστιγῶσαι αὐτὸν ὑπὲρ ταύτας τὰς πληγὰς πλείους ἀσχημονήσει ὁ ἀδελφός σου ἐναντίον σου,Ki Tetze,,14,Judges,The Sanhedrin and the Penalties Under Their Jurisdiction,"Courts, Crimes, and Punishments",,,,,,,,,,,,,
555,The court must not kill anybody on circumstantial evidence ,N,EXO 23:7,"""Keep far from a false charge, and do not kill the innocent or the righteous, for I will not acquit the guilty.","ז מִדְּבַר-שֶׁקֶר, תִּרְחָק; וְנָקִי וְצַדִּיק אַל-תַּהֲרֹג, כִּי לֹא-אַצְדִּיק רָשָׁע.",7 ἀπὸ παντὸς ῥήματος ἀδίκου ἀποστήσῃ· ἀθῷον καὶ δίκαιον οὐκ ἀποκτενεῖς καὶ οὐ δικαιώσεις τὸν ἀσεβῆ ἕνεκεν δώρων.  ,Mishpatim,82,14,Judges,The Sanhedrin and the Penalties Under Their Jurisdiction,"Courts, Crimes, and Punishments",,,,,,,,,,,,,
556,The court must not punish anybody who was forced to do a crime ,N,DEU 22:26,"""But you shall do nothing to the girl; there is no sin in the girl worthy of death, for just as a man rises against his neighbor and murders him, so is this case.","כו וְלַנַּעֲרָ לֹא-תַעֲשֶׂה דָבָר, אֵין לַנַּעֲרָ חֵטְא מָוֶת: כִּי כַּאֲשֶׁר יָקוּם אִישׁ עַל-רֵעֵהוּ, וּרְצָחוֹ נֶפֶשׁ--כֵּן, הַדָּבָר הַזֶּה.","26 καὶ τῇ νεάνιδι οὐ ποιήσετε οὐδέν· οὐκ ἔστιν τῇ νεάνιδι ἁμάρτημα θανάτου, ὅτι ὡς εἴ τις ἐπαναστῇ ἄνθρωπος ἐπὶ τὸν πλησίον καὶ φονεύσῃ αὐτοῦ ψυχήν, οὕτως τὸ πρᾶγμα τοῦτο,  ",Ki Tetze,556,14,Judges,The Sanhedrin and the Penalties Under Their Jurisdiction,"Courts, Crimes, and Punishments",,,,,,,,,,,,,
557,A judge must not pity the murderer or assaulter at the trial ,N,DEU 19:13,"""You shall not pity him, but you shall purge the blood of the innocent from Israel, that it may go well with you.","יג לֹא-תָחוֹס עֵינְךָ, עָלָיו; וּבִעַרְתָּ דַם-הַנָּקִי מִיִּשְׂרָאֵל, וְטוֹב לָךְ. {ס}","13 οὐ φείσεται ὁ ὀφθαλμός σου ἐπ᾿ αὐτῷ, καὶ καθαριεῖς τὸ αἷμα τὸ ἀναίτιον ἐξ Ισραηλ, καὶ εὖ σοι ἔσται.  ",Shoftim,521,14,Judges,The Sanhedrin and the Penalties Under Their Jurisdiction,"Courts, Crimes, and Punishments",,,,,,,,,,,,,
558,A judge must not have mercy on the poor man at the trial ,N,LEV 19:15,"'You shall do no injustice in judgment; you shall not be partial to the poor nor defer to the great, but you are to judge your neighbor fairly.","טו לֹא-תַעֲשׂוּ עָוֶל, בַּמִּשְׁפָּט--לֹא-תִשָּׂא פְנֵי-דָל, וְלֹא תֶהְדַּר פְּנֵי גָדוֹל: בְּצֶדֶק, תִּשְׁפֹּט עֲמִיתֶךָ.","15 Οὐ ποιήσετε ἄδικον ἐν κρίσει· οὐ λήμψῃ πρόσωπον πτωχοῦ οὐδὲ θαυμάσεις πρόσωπον δυνάστου, ἐν δικαιοσύνῃ κρινεῖς τὸν πλησίον σου.  ",Kedoshim,,14,Judges,The Sanhedrin and the Penalties Under Their Jurisdiction,"Courts, Crimes, and Punishments",,,,,,,,,,,,,
559,A judge must not respect the great man at the trial ,N,LEV 19:15,"'You shall do no injustice in judgment; you shall not be partial to the poor nor defer to the great, but you are to judge your neighbor fairly.",  לֹא־תַעֲשׂוּ עָוֶל בַּמִּשְׁפָּט לֹא־תִשָּׂא פְנֵי־דָל וְלֹא תֶהְדַּר פְּנֵי גָדוֹל בְּצֶדֶק תִּשְׁפֹּט עֲמִיתֶךָ׃ ‬,οὐ ποιήσετε ἄδικον ἐν κρίσει οὐ λήμψῃ πρόσωπον πτωχοῦ οὐδὲ θαυμάσεις πρόσωπον δυνάστου ἐν δικαιοσύνῃ κρινεῖς τὸν πλησίον σου,Kedoshim,234,14,Judges,The Sanhedrin and the Penalties Under Their Jurisdiction,"Courts, Crimes, and Punishments",,,,,,,,,,,,,
560,A judge must not decide unjustly the case of the habitual transgressor ,N,EXO 23:6,"""You shall not pervert the justice due to your needy brother in his dispute.","ו לֹא תַטֶּה מִשְׁפַּט אֶבְיֹנְךָ, בְּרִיבוֹ.",6 οὐ διαστρέψεις κρίμα πένητος ἐν κρίσει αὐτοῦ.  ,Mishpatim,81,14,Judges,The Sanhedrin and the Penalties Under Their Jurisdiction,"Courts, Crimes, and Punishments",,,,,,,,,,,,,
561,A judge must not pervert justice ,N,LEV 19:15,"'You shall do no injustice in judgment; you shall not be partial to the poor nor defer to the great, but you are to judge your neighbor fairly.",  לֹא־תַעֲשׂוּ עָוֶל בַּמִּשְׁפָּט לֹא־תִשָּׂא פְנֵי־דָל וְלֹא תֶהְדַּר פְּנֵי גָדוֹל בְּצֶדֶק תִּשְׁפֹּט עֲמִיתֶךָ׃ ‬,οὐ ποιήσετε ἄδικον ἐν κρίσει οὐ λήμψῃ πρόσωπον πτωχοῦ οὐδὲ θαυμάσεις πρόσωπον δυνάστου ἐν δικαιοσύνῃ κρινεῖς τὸν πλησίον σου,Kedoshim,233,14,Judges,The Sanhedrin and the Penalties Under Their Jurisdiction,"Courts, Crimes, and Punishments",,,,,,,,,,,,,
562,A judge must not pervert a case involving a foreigner or orphan ,N,DEU 24:17,"""You shall not pervert the justice due an alien or an orphan, nor take a widow's garment in pledge.","יז לֹא תַטֶּה, מִשְׁפַּט גֵּר יָתוֹם; וְלֹא תַחֲבֹל, בֶּגֶד אַלְמָנָה.",17 Οὐκ ἐκκλινεῖς κρίσιν προσηλύτου καὶ ὀρφανοῦ καὶ χήρας καὶ οὐκ ἐνεχυράσεις ἱμάτιον χήρας·  ,Ki Tetze,,13,Judgments,Creditor and Debtor,Loans,,,,,,,,,,,,,
563,Judge righteously ,P,LEV 19:15,"'You shall do no injustice in judgment; you shall not be partial to the poor nor defer to the great, but you are to judge your neighbor fairly.",  לֹא־תַעֲשׂוּ עָוֶל בַּמִּשְׁפָּט לֹא־תִשָּׂא פְנֵי־דָל וְלֹא תֶהְדַּר פְּנֵי גָדוֹל בְּצֶדֶק תִּשְׁפֹּט עֲמִיתֶךָ׃ ‬,οὐ ποιήσετε ἄδικον ἐν κρίσει οὐ λήμψῃ πρόσωπον πτωχοῦ οὐδὲ θαυμάσεις πρόσωπον δυνάστου ἐν δικαιοσύνῃ κρινεῖς τὸν πλησίον σου,Kedoshim,235,14,Judges,The Sanhedrin and the Penalties Under Their Jurisdiction,"Courts, Crimes, and Punishments",,,,,,,,,,,,,
564,The judge must not fear a violent man in judgment ,N,DEU 1:17,"'You shall not show partiality in judgment; you shall hear the small and the great alike. You shall not fear man, for the judgment is God's. The case that is too hard for you, you shall bring to me, and I will hear it.'",  לֹא־תַכִּירוּ פָנִים בַּמִּשְׁפָּט כַּקָּטֹן כַּגָּדֹל תִּשְׁמָעוּן לֹא תָגוּרוּ מִפְּנֵי־אִישׁ כִּי הַמִּשְׁפָּט לֵאלֹהִים הוּא וְהַדָּבָר אֲשֶׁר יִקְשֶׁה מִכֶּם תַּקְרִבוּן אֵלַי וּשְׁמַעְתִּיו׃ ‬,οὐκ ἐπιγνώσῃ πρόσωπον ἐν κρίσει κατὰ τὸν μικρὸν καὶ κατὰ τὸν μέγαν κρινεῖς οὐ μὴ ὑποστείλῃ πρόσωπον ἀνθρώπου ὅτι ἡ κρίσις τοῦ θεοῦ ἐστιν καὶ τὸ ῥῆμα ὃ ἐὰν σκληρὸν ᾖ ἀφ' ὑμῶν ἀνοίσετε αὐτὸ ἐπ' ἐμέ καὶ ἀκούσομαι αὐτό,Devarim,415,14,Judges,The Sanhedrin and the Penalties Under Their Jurisdiction,"Courts, Crimes, and Punishments",,,,,,,,,,,,,
565,Judges must not accept bribes ,N,EXO 23:8,"""You shall not take a bribe, for a bribe blinds the clear-sighted and subverts the cause of the just.","ח וְשֹׁחַד, לֹא תִקָּח: כִּי הַשֹּׁחַד יְעַוֵּר פִּקְחִים, וִיסַלֵּף דִּבְרֵי צַדִּיקִים.",8 καὶ δῶρα οὐ λήμψῃ· τὰ γὰρ δῶρα ἐκτυφλοῖ ὀφθαλμοὺς βλεπόντων καὶ λυμαίνεται ῥήματα δίκαια. --  ,Mishpatim,83,14,Judges,The Sanhedrin and the Penalties Under Their Jurisdiction,"Courts, Crimes, and Punishments",,,,,,,,,,,,,
566,Judges must not accept testimony unless both parties are present ,N,EXO 23:1,"""You shall not bear a false report; do not join your hand with a wicked man to be a malicious witness.","א לֹא תִשָּׂא, שֵׁמַע שָׁוְא; אַל-תָּשֶׁת יָדְךָ עִם-רָשָׁע, לִהְיֹת עֵד חָמָס.",1 Οὐ παραδέξῃ ἀκοὴν ματαίαν. οὐ συγκαταθήσῃ μετὰ τοῦ ἀδίκου γενέσθαι μάρτυς ἄδικος.  ,Mishpatim,74,14,Judges,The Sanhedrin and the Penalties Under Their Jurisdiction,"Courts, Crimes, and Punishments",,,,,,,,,,,,,
567,Do not curse judges ,N,EXO 22:28,"""You shall not curse God, nor curse a ruler of your people.","כז אֱלֹהִים, לֹא תְקַלֵּל; וְנָשִׂיא בְעַמְּךָ, לֹא תָאֹר.",28 (22:27) θεοὺς οὐ κακολογήσεις καὶ ἄρχοντας τοῦ λαοῦ σου οὐ κακῶς ἐρεῖς. --  ,Mishpatim,69,1,Knowledge,Idolatry and Gentile Customs,G-d,,,,,,,,,,,,,
568,Do not curse the head of state or leader of the Sanhedrin ,N,EXO 22:28,"""You shall not curse God, nor curse a ruler of your people.",  אֱלֹהִים לֹא תְקַלֵּל וְנָשִׂיא בְעַמְּךָ לֹא תָאֹר׃ ‬,22:27 θεοὺς οὐ κακολογήσεις καὶ ἄρχοντας τοῦ λαοῦ σου οὐ κακῶς ἐρεῖς,Mishpatim,71,1,Knowledge,Idolatry and Gentile Customs,G-d,,,,,,,,,,,,,
569,Do not curse any upstanding Israelite ,N,LEV 19:14,"'You shall not curse a deaf man, nor place a stumbling block before the blind, but you shall revere your God; I am the LORD.",  לֹא־תְקַלֵּל חֵרֵשׁ וְלִפְנֵי עִוֵּר לֹא תִתֵּן מִכְשֹׁל וְיָרֵאתָ מֵּאֱלֹהֶיךָ אֲנִי יְהוָה׃ ‬,οὐ κακῶς ἐρεῖς κωφὸν καὶ ἀπέναντι τυφλοῦ οὐ προσθήσεις σκάνδαλον καὶ φοβηθήσῃ κύριον τὸν θεόν σου ἐγώ εἰμι κύριος ὁ θεὸς ὑμῶν,Kedoshim,231,11,Injuries,A Murder and the Preservation of Life,"Courts, Crimes, and Punishments",,,,,,,,,,,,,
570,Anybody who knows evidence must testify in court ,P,LEV 5:1,"Now if a person sins after he hears a public adjuration to testify when he is a witness, whether he has seen or otherwise known, if he does not tell it, then he will bear his guilt.","א וְנֶפֶשׁ כִּי-תֶחֱטָא, וְשָׁמְעָה קוֹל אָלָה, וְהוּא עֵד, אוֹ רָאָה אוֹ יָדָע; אִם-לוֹא יַגִּיד, וְנָשָׂא עֲו‍ֹנוֹ.","1 Ἐὰν δὲ ψυχὴ ἁμάρτῃ καὶ ἀκούσῃ φωνὴν ὁρκισμοῦ καὶ οὗτος μάρτυς (ἢ ἑώρακεν ἢ σύνοιδεν), ἐὰν μὴ ἀπαγγείλῃ, λήμψεται τὴν ἁμαρτίαν·  ",Vayikra,122,14,Judges,Testimony,"Courts, Crimes, and Punishments",,,,,,,,,,,,,
571,Carefully interrogate the witness ,P,DEU 13:15,"you shall surely strike the inhabitants of that city with the edge of the sword, utterly destroying it and all that is in it and its cattle with the edge of the sword.","טז הַכֵּה תַכֶּה, אֶת-יֹשְׁבֵי הָעִיר הַהִוא--לְפִי-חָרֶב: הַחֲרֵם אֹתָהּ וְאֶת-כָּל-אֲשֶׁר-בָּהּ וְאֶת-בְּהֶמְתָּהּ, לְפִי-חָרֶב.","(13:16) ἀναιρῶν ἀνελεῖς πάντας τοὺς κατοικοῦντας ἐν τῇ πόλει ἐκείνῃ ἐν φόνῳ μαχαίρας, ἀναθέματι ἀναθεματιεῖτε αὐτὴν καὶ πάντα τὰ ἐν αὐτῇ  ",Re'eh,463,14,Judges,Testimony,"Courts, Crimes, and Punishments",,,,,,,,,,,,,
572,A witness must not serve as a judge in capital crimes ,N,NUM 35:30,"'If anyone kills a person, the murderer shall be put to death at the evidence of witnesses, but no person shall be put to death on the testimony of one witness.","ל כָּל-מַכֵּה-נֶפֶשׁ--לְפִי עֵדִים, יִרְצַח אֶת-הָרֹצֵחַ; וְעֵד אֶחָד, לֹא-יַעֲנֶה בְנֶפֶשׁ לָמוּת.","30 πᾶς πατάξας ψυχήν, διὰ μαρτύρων φονεύσεις τὸν φονεύσαντα, καὶ μάρτυς εἷς οὐ μαρτυρήσει ἐπὶ ψυχὴν ἀποθανεῖν.  ",Masei,411,14,Judges,Testimony,"Courts, Crimes, and Punishments",,,,,,,,,,,,,
573,Do not accept testimony from a lone witness ,N,DEU 19:15,"""A single witness shall not rise up against a man on account of any iniquity or any sin which he has committed; on the evidence of two or three witnesses a matter shall be confirmed.","טו לֹא-יָקוּם עֵד אֶחָד בְּאִישׁ, לְכָל-עָו‍ֹן וּלְכָל-חַטָּאת, בְּכָל-חֵטְא, אֲשֶׁר יֶחֱטָא: עַל-פִּי שְׁנֵי עֵדִים, אוֹ עַל-פִּי שְׁלֹשָׁה-עֵדִים--יָקוּם דָּבָר.","15 Οὐκ ἐμμενεῖ μάρτυς εἷς μαρτυρῆσαι κατὰ ἀνθρώπου κατὰ πᾶσαν ἀδικίαν καὶ κατὰ πᾶν ἁμάρτημα καὶ κατὰ πᾶσαν ἁμαρτίαν, ἣν ἂν ἁμάρτῃ· ἐπὶ στόματος δύο μαρτύρων καὶ ἐπὶ στόματος τριῶν μαρτύρων σταθήσεται πᾶν ῥῆμα.  ",Shoftim,523,14,Judges,Testimony,"Courts, Crimes, and Punishments",,,,,,,,,,,,,
574,Habitual transgressors must not testify ,N,EXO 23:1,"""You shall not bear a false report; do not join your hand with a wicked man to be a malicious witness.",  לֹא תִשָּׂא שֵׁמַע שָׁוְא אַל־תָּשֶׁת יָדְךָ עִם־רָשָׁע לִהְיֹת עֵד חָמָס׃ ס ‬,οὐ παραδέξῃ ἀκοὴν ματαίαν οὐ συγκαταθήσῃ μετὰ τοῦ ἀδίκου γενέσθαι μάρτυς ἄδικος,Mishpatim,75,14,Judges,The Sanhedrin and the Penalties Under Their Jurisdiction,"Courts, Crimes, and Punishments",,,,,,,,,,,,,
575,Relatives of the litigants must not testify ,N,DEU 24:16,"""Fathers shall not be put to death for their sons, nor shall sons be put to death for their fathers; everyone shall be put to death for his own sin.","טז לֹא-יוּמְתוּ אָבוֹת עַל-בָּנִים, וּבָנִים לֹא-יוּמְתוּ עַל-אָבוֹת: אִישׁ בְּחֶטְאוֹ, יוּמָתוּ. {ס}","16 Οὐκ ἀποθανοῦνται πατέρες ὑπὲρ τέκνων, καὶ υἱοὶ οὐκ ἀποθανοῦνται ὑπὲρ πατέρων· ἕκαστος τῇ ἑαυτοῦ ἁμαρτίᾳ ἀποθανεῖται.  ",Ki Tetze,,14,Judges,Testimony,"Courts, Crimes, and Punishments",,,,,,,,,,,,,
576,Do not testify falsely ,N,EXO 20:16,"""You shall not bear false witness against your neighbor.", לֹא-תַעֲנֶה בְרֵעֲךָ עֵד שָׁקֶר. {ס},16 οὐ ψευδομαρτυρήσεις κατὰ τοῦ πλησίον σου μαρτυρίαν ψευδῆ. --  ,Yitro,37,14,Judges,Testimony,"Courts, Crimes, and Punishments",,,,,,,,,,,,,
577,Punish the false witnesses as they tried to punish the defendant ,P,DEU 19:19,then you shall do to him just as he had intended to do to his brother. Thus you shall purge the evil from among you.,"יט וַעֲשִׂיתֶם לוֹ, כַּאֲשֶׁר זָמַם לַעֲשׂוֹת לְאָחִיו; וּבִעַרְתָּ הָרָע, מִקִּרְבֶּךָ.","19 καὶ ποιήσετε αὐτῷ ὃν τρόπον ἐπονηρεύσατο ποιῆσαι κατὰ τοῦ ἀδελφοῦ αὐτοῦ, καὶ ἐξαρεῖς τὸν πονηρὸν ἐξ ὑμῶν αὐτῶν.  ",Shoftim,524,14,Judges,Testimony,"Courts, Crimes, and Punishments",,,,,,,,,,,,,
578,Act according to the ruling of the Sanhedrin ,P,DEU 17:11,"""According to the terms of the law which they teach you, and according to the verdict which they tell you, you shall do; you shall not turn aside from the word which they declare to you, to the right or the left.","יא עַל-פִּי הַתּוֹרָה אֲשֶׁר יוֹרוּךָ, וְעַל-הַמִּשְׁפָּט אֲשֶׁר-יֹאמְרוּ לְךָ--תַּעֲשֶׂה: לֹא תָסוּר, מִן-הַדָּבָר אֲשֶׁר-יַגִּידוּ לְךָ--יָמִין וּשְׂמֹאל.","11 κατὰ τὸν νόμον καὶ κατὰ τὴν κρίσιν, ἣν ἂν εἴπωσίν σοι, ποιήσεις, οὐκ ἐκκλινεῖς ἀπὸ τοῦ ῥήματος, οὗ ἐὰν ἀναγγείλωσίν σοι, δεξιὰ οὐδὲ ἀριστερά.  ",Shoftim,495,14,Judges,Rebels,"Courts, Crimes, and Punishments",,,,,,,,,,,,,
579,Do not deviate from the word of the Sanhedrin ,N,DEU 17:11,"""According to the terms of the law which they teach you, and according to the verdict which they tell you, you shall do; you shall not turn aside from the word which they declare to you, to the right or the left.",  עַל־פִּי הַתּוֹרָה אֲשֶׁר יוֹרוּךָ וְעַל־הַמִּשְׁפָּט אֲשֶׁר־יֹאמְרוּ לְךָ תַּעֲשֶׂה לֹא תָסוּר מִן־הַדָּבָר אֲשֶׁר־יַגִּידוּ לְךָ יָמִין וּשְׂמֹאל׃ ‬,κατὰ τὸν νόμον καὶ κατὰ τὴν κρίσιν ἣν ἂν εἴπωσίν σοι ποιήσεις οὐκ ἐκκλινεῖς ἀπὸ τοῦ ῥήματος οὗ ἐὰν ἀναγγείλωσίν σοι δεξιὰ οὐδὲ ἀριστερά,Shoftim,496,14,Judges,Rebels,"Courts, Crimes, and Punishments",,,,,,,,,,,,,
580,Do not add any commandments to the Law,N,DEU 12:32,"""Whatever I command you, you shall be careful to do; you shall not add to nor take away from it.","א אֵת כָּל-הַדָּבָר, אֲשֶׁר אָנֹכִי מְצַוֶּה אֶתְכֶם--אֹתוֹ תִשְׁמְרוּ, לַעֲשׂוֹת: לֹא-תֹסֵף עָלָיו, וְלֹא תִגְרַע מִמֶּנּוּ. {פ}","32 (13:1) Πᾶν ῥῆμα, ὃ ἐγὼ ἐντέλλομαί σοι σήμερον, τοῦτο φυλάξῃ ποιεῖν· οὐ προσθήσεις ἐπ᾿ αὐτὸ οὐδὲ ἀφελεῖς ἀπ᾿ αὐτοῦ.  ",Re'eh,454,14,Judges,Rebels,Torah,,,,,,,,,,,,,
581,Do not diminish any commandments from the Law,N,DEU 12:32,"""Whatever I command you, you shall be careful to do; you shall not add to nor take away from it.",  אֵת כָּל־הַדָּבָר אֲשֶׁר אָנֹכִי מְצַוֶּה אֶתְכֶם אֹתוֹ תִשְׁמְרוּ לַעֲשׂוֹת לֹא־תֹסֵף עָלָיו וְלֹא תִגְרַע מִמֶּנּוּ׃ פ ‬,13:1 πᾶν ῥῆμα ὃ ἐγὼ ἐντέλλομαί σοι σήμερον τοῦτο φυλάξῃ ποιεῖν οὐ προσθήσεις ἐπ' αὐτὸ οὐδὲ ἀφελεῖς ἀπ' αὐτοῦ,Re'eh,455,14,Judges,Rebels,Torah,,,,,,,,,,,,,
582,Do not curse your father and mother ,N,EXO 21:17,"""He who curses his father or his mother shall surely be put to death.","יז וּמְקַלֵּל אָבִיו וְאִמּוֹ, מוֹת יוּמָת. {ס}","17 ὃς ἐὰν κλέψῃ τίς τινα τῶν υἱῶν Ισραηλ καὶ καταδυναστεύσας αὐτὸν ἀποδῶται, καὶ εὑρεθῇ ἐν αὐτῷ, θανάτῳ τελευτάτω. --  ",Mishpatim,260,14,Judges,Rebels,Marriage and Family,,,,,,,,,,,,,
583,Do not strike your father and mother ,N,EXO 21:15,"""He who strikes his father or his mother shall surely be put to death.","טו וּמַכֵּה אָבִיו וְאִמּוֹ, מוֹת יוּמָת. {ס}","15 ὃς τύπτει πατέρα αὐτοῦ ἢ μητέρα αὐτοῦ, θανάτῳ θανατούσθω.  ",Mishpatim,48,14,Judges,Rebels,Marriage and Family,,,,,,,,,,,,,
584,Respect your father or mother ,P,EXO 20:12,"""Honor your father and your mother, that your days may be prolonged in the land which the LORD your God gives you.","יא כַּבֵּד אֶת-אָבִיךָ, וְאֶת-אִמֶּךָ--לְמַעַן, יַאֲרִכוּן יָמֶיךָ, עַל הָאֲדָמָה, אֲשֶׁר-יְהוָה אֱלֹהֶיךָ נֹתֵן לָךְ. {ס}","12 τίμα τὸν πατέρα σου καὶ τὴν μητέρα, ἵνα εὖ σοι γένηται, καὶ ἵνα μακροχρόνιος γένῃ ἐπὶ τῆς γῆς τῆς ἀγαθῆς, ἧς κύριος ὁ θεός σου δίδωσίν σοι. --  ",Yitro,33,14,Judges,Rebels,Marriage and Family,,,,,,,,,,,,,
585,Fear your father or mother ,P,LEV 19:3,"'Every one of you shall reverence his mother and his father, and you shall keep My sabbaths; I am the LORD your God.","ג אִישׁ אִמּוֹ וְאָבִיו תִּירָאוּ, וְאֶת-שַׁבְּתֹתַי תִּשְׁמֹרוּ: אֲנִי, יְהוָה אֱלֹהֵיכֶם.","3 ἕκαστος πατέρα αὐτοῦ καὶ μητέρα αὐτοῦ φοβείσθω, καὶ τὰ σάββατά μου φυλάξεσθε· ἐγὼ κύριος ὁ θεὸς ὑμῶν.  ",Kedoshim,212,14,Judges,Rebels,Marriage and Family,,,,,,,,,,,,,
586,Do not be a rebellious son ,N,DEU 21:18,"""If any man has a stubborn and rebellious son who will not obey his father or his mother, and when they chastise him, he will not even listen to them,","יח כִּי-יִהְיֶה לְאִישׁ, בֵּן סוֹרֵר וּמוֹרֶה--אֵינֶנּוּ שֹׁמֵעַ, בְּקוֹל אָבִיו וּבְקוֹל אִמּוֹ; וְיִסְּרוּ אֹתוֹ, וְלֹא יִשְׁמַע אֲלֵיהֶם.","18 Ἐὰν δέ τινι ᾖ υἱὸς ἀπειθὴς καὶ ἐρεθιστὴς οὐχ ὑπακούων φωνὴν πατρὸς καὶ φωνὴν μητρὸς καὶ παιδεύσωσιν αὐτὸν καὶ μὴ εἰσακούῃ αὐτῶν,  ",Ki Tetze,,14,Judges,Rebels,Marriage and Family,,,,,,,,,,,,,
